agency	agency_country	notes
Center for Human Services	United States of America	
Saint Louis University	United States of America	
Institute for Healthcare Improvement	United States of America	
University of Oxford	England	
University of Utah	United States of America	
Stanford University	United States of America	
Stichting Akvo	Netherlands	
University of Virginia	United States of America	
PATH	United States of America	
Ohio State University	United States of America	
African Society for Laboratory Medicine	nonspecific	
"Arsanis, Inc."	United States of America	
Girl Effect	nonspecific	
Tufts University	United States of America	
Trustees of the University of Pennsylvania	United States of America	
"GlaxoSmithKline I+D, S.L."	nonspecific	
FIOCRUZ	Brazil	
Massachusetts Institute of Technology	United States of America	
Claremont BioSolutions	United States of America	
"Albert B. Sabin Vaccine Institute, Inc."	United States of America	
Rockefeller University	United States of America	
University of Southampton	England	
University of California at San Diego	United States of America	
Rx-360	nonspecific	
Pennsylvania State University	United States of America	
The One Campaign	nonspecific	
